Name,Price
Процессор AMD Ryzen 5 3600,14190
Процессор AMD Athlon 3000G,5450
Процессор AMD Ryzen 7 3700X,23230
Процессор INTEL Core i3 10100F,7050
Процессор INTEL Core i5 10400F,14340
Процессор INTEL Core i3 10100F,7490
Процессор INTEL Celeron G4930,6680
Процессор INTEL Core i5 10400,15990
Процессор INTEL Core i5 9400F,11990
Процессор INTEL Core i5 9400F,12290
Процессор INTEL Core i3 10100,13180
Процессор AMD Ryzen 5 3600,17790
Процессор AMD Athlon 200GE,5700
Процессор AMD Ryzen 3 3100,10090
Процессор INTEL Core i5 10400F,14340
Процессор AMD Ryzen 3 PRO 3200G,14650
Процессор INTEL Pentium Dual-Core G4400,7490
Процессор INTEL Core i5 10400,15510
Процессор AMD Ryzen 5 2600X,11910
Процессор INTEL Pentium Gold G6400,6690
Процессор INTEL Core i5 11400,17450
Процессор INTEL Core i3 10100,12190
Процессор AMD Ryzen 5 1600,9830
Процессор AMD Ryzen 9 3900X,41500
Процессор AMD Ryzen 5 3500,11480
Процессор INTEL Core i7 10700F,26760
Процессор INTEL Core i5 10600KF,17060
Процессор INTEL Celeron G4900,7490
Процессор INTEL Pentium Dual-Core G4560,7260
Процессор AMD Ryzen 3 1200,10880
Процессор INTEL Core i3 9100F,8990
Устройство охлаждения(кулер) DEEPCOOL GAMMAXX 300 FURY,1210
Устройство охлаждения(кулер) DEEPCOOL GAMMAXX 400 BLUE BASIC,1350
Устройство охлаждения(кулер) DEEPCOOL ICE EDGE MINI FS V2.0,550
Устройство охлаждения(кулер) DEEPCOOL GAMMA HUNTER,430
Устройство охлаждения(кулер) AEROCOOL Verkho 2,640
Устройство охлаждения(кулер) INTEL E97379,490
Устройство охлаждения(кулер) DEEPCOOL ICE BLADE 100 PWM,690
Устройство охлаждения(кулер) AEROCOOL Cylon 4,2660
Устройство охлаждения(кулер) DEEPCOOL GAMMAXX 200 V2,800
Устройство охлаждения(кулер) DEEPCOOL REDHAT,2800
Устройство охлаждения(кулер) DEEPCOOL THETA 31 PWM,760
Устройство охлаждения(кулер) DEEPCOOL CK-AM209 V2,290
